Acexxon;price;reference;width;height;depth;weight;name
Acexxon;120.000000;R01-1-1000-01;0.000000;0.000000;0.000000;0.000000;BMW M2 F87 HONEYCOMB REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;120.000000;R01-1-1000-02;0.000000;0.000000;0.000000;0.000000;BMW M2 F87 HORIZONTAL SLAT REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;195.000000;R01-1-1100-01;10.000000;4.000000;27.000000;0.100000;BMW M2 F87 HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;195.000000;R01-1-1100-02;0.000000;0.000000;0.000000;0.000000;BMW M2 F87 HORIZONTAL SLAT REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;95.000000;R15-1-1000-01;0.000000;0.000000;0.000000;0.000000;BMW F8X M3 / M4 F8X HORIZONTAL SLAT REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;95.000000;R15-1-1000-02;0.000000;0.000000;0.000000;0.000000;BMW F8X M3 / M4 F8X HONEYCOMB REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;149.000000;R15-1-1100-01;0.000000;0.000000;0.000000;0.000000;BMW F8X M3 / M4 F8X HORIZONTAL SLAT REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;149.000000;R15-1-1100-02;10.000000;4.000000;27.000000;0.100000;BMW F8X M3 / M4 F8X HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;79.950000;R16-1-1000-01;0.000000;0.000000;0.000000;0.000000;GOLF 7 R HONEYCOMB REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;79.950000;R16-1-1000-02;0.000000;0.000000;0.000000;0.000000;GOLF 7 R DIAGONAL SLAT REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;119.900000;R16-1-1100-01;31.000000;13.000000;5.000000;0.200000;GOLF 7 R HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;119.900000;R16-1-1100-02;0.000000;0.000000;0.000000;0.000000;GOLF 7 R DIAGONAL SLAT REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;95.000000;R16-10-1;7.000000;5.000000;50.000000;0.520000;Rear Reflector Insert Set - Honeycomb ( Satin Finish )
Acexxon;135.000000;R16-10-2;7.000000;5.000000;50.000000;0.520000;Rear Reflector Insert Set - Honeycomb
Acexxon;79.950000;R17-1-1000-01;0.000000;0.000000;0.000000;0.000000;GOLF 7 GTI HONEYCOMB REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;119.900000;R17-1-1100-01;36.000000;14.000000;5.000000;0.250000;GOLF 7 GTI HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;159.950000;R17-10-2;27.000000;10.000000;4.000000;0.120000;BMW G80 M3 / M4 G82 HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;159.950000;R17-20-2;7.000000;5.000000;50.000000;0.520000;Rear Reflector Insert Set - Horizontal Slat
Acexxon;79.950000;R18-10-1;7.000000;5.000000;50.000000;0.520000;Rear Reflector Insert Set - Honeycomb
Acexxon;119.900000;R18-10-2;36.000000;14.000000;5.000000;0.250000;GOLF 8 GTI HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;79.950000;R21-1-1000-01;0.000000;0.000000;0.000000;0.000000;GOLF 7.5 GTI HONEYCOMB REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;119.900000;R21-1-1100-01;36.000000;15.000000;5.000000;0.220000;GOLF 7.5 GTI HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;129.950000;R21-10-2;7.000000;5.000000;50.000000;0.520000;Rear Reflector Insert Set - Honeycomb
Acexxon;119.950000;R22-1-1000-01;0.000000;0.000000;0.000000;0.000000;BMW X5 F85 HONEYCOMB REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;149.950000;R22-1-1100-01;0.000000;0.000000;0.000000;0.000000;BMW X5 F85 HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;120.000000;R23-1-1000-01;0.000000;0.000000;0.000000;0.000000;BMW M5 F90 HONEYCOMB REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;139.950000;R23-1-1100-01;14.000000;6.000000;37.000000;0.200000;BMW M5 F90 HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;119.950000;R24-1-1000-01;0.000000;0.000000;0.000000;0.000000;991 GT3 / RS HONEYCOMB REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;149.950000;R24-1-1100-01;13.000000;5.000000;31.000000;0.200000;991 GT3 / RS HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;95.000000;R25-1-1000-01;6.000000;31.000000;13.000000;0.200000;AUDI A5 / S5 B8 SEDAN HONEYCOMB REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;149.000000;R25-1-1100-01;0.000000;0.000000;0.000000;0.000000;AUDI A5 / S5 B8 SEDAN HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;95.000000;R26-1-1000-01;14.000000;8.000000;39.000000;0.250000;AUDI A3 / S3 / RS3 8V SEDAN HONEYCOMB REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;149.000000;R26-1-1100-01;14.000000;8.000000;39.000000;0.250000;AUDI A3 / S3 / RS3 8V SEDAN HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;120.000000;R27-1-1000-01;0.000000;0.000000;0.000000;0.000000;BMW X3M F97 HONEYCOMB REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;139.950000;R27-1-1100-01;31.000000;13.000000;5.000000;0.200000;BMW X3M F97 HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;120.000000;R30-1-1000-01;4.000000;10.000000;27.000000;0.100000;SUPRA A90 MK5 HONEYCOMB REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;95.000000;R31-1-1000-01;10.000000;27.000000;4.000000;0.100000;BMW X5M / X6M F9X / M235I / 240I HONEYCOMB REAR REFLECTOR INSERTS (MATTE FINISH)
Acexxon;149.000000;R31-1-1100-01;0.000000;0.000000;0.000000;0.000000;BMW X5M / X6M F9X / M235I / 240I HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;159.950000;R32-1-1100-01;7.000000;5.000000;50.000000;0.520000;Rear Reflector Insert Set - 3D Honeycomb
Acexxon;159.950000;R33-1-1100-01;33.000000;18.000000;8.000000;0.300000;BMW M8 F9X HONEYCOMB REAR REFLECTOR INSERTS (GLOSS FINISH)
Acexxon;71.950000;T50-1-1000-01;7.000000;5.000000;50.000000;0.520000;UNIVERSAL FRONT LIP PROTECTOR KIT (5 PCS / SET)
Acexxon;76.950000;T50-1-2000-01;7.000000;5.000000;50.000000;0.520000;Front Lip Protector Kit - Heavy Duty
